,CVE_CLPV,FECHA_ENT,FECHA_VEN,CAN_TOT
218,      5989,2019-09-24 00:00:00,2019-09-24,483.24000000000007
219,       728,2019-09-24 00:00:00,2019-11-23,155913.0
220,      6850,2019-09-24 00:00:00,2019-09-24,364.00000000000006
221,      5926,2019-09-23 00:00:00,2019-09-24,120.00000000000001
222,      5926,2019-09-23 00:00:00,2019-09-24,36.21
223,      5926,2019-09-23 00:00:00,2019-09-24,456.00000000000006
224,      5926,2019-09-24 00:00:00,2019-09-24,682.5
225,       251,2019-09-25 00:00:00,2019-10-25,1250.0
226,      6851,2019-09-25 00:00:00,2019-09-25,172.5
227,      2357,2019-09-13 00:00:00,2019-09-25,3743.0000000000005
228,      2385,2019-09-25 00:00:00,2019-10-25,6000.000000000001
229,      6852,2019-09-25 00:00:00,2019-09-25,333.96000000000004
230,      6852,2019-09-25 00:00:00,2019-09-25,1269.88
231,      6853,2019-09-25 00:00:00,2019-09-25,1269.88
232,      5615,2019-09-25 00:00:00,2019-09-25,789.0000000000001
233,      2390,2019-09-20 00:00:00,2019-10-25,4005.7500000000005
234,        47,2019-09-25 00:00:00,2019-09-25,267.24
235,      5915,2019-09-25 00:00:00,2019-10-10,1999.7900000000002
236,      5039,2019-09-26 00:00:00,2019-10-26,1530.0000000000002
237,      5039,2019-09-26 00:00:00,2019-10-26,2750.0
238,      5596,2019-09-26 00:00:00,2019-09-26,2294.4950000000003
239,      5046,2019-09-26 00:00:00,2019-09-26,560.0
240,      5977,2019-09-26 00:00:00,2019-09-26,30.000000000000004
241,      6611,2019-09-26 00:00:00,2019-09-26,703.6
242,      6825,2019-09-26 00:00:00,2019-09-26,1228.5
243,      4804,2019-09-20 00:00:00,2019-09-26,2421.0
244,      6451,2019-09-23 00:00:00,2019-10-04,2360.0826
245,      3931,2019-09-26 00:00:00,2019-09-26,165.0
246,        43,2019-09-26 00:00:00,2019-10-26,17230.0
247,      6691,2019-09-26 00:00:00,2019-09-26,276.0
248,      4831,2019-09-26 00:00:00,2019-09-26,2310.0
249,       251,2019-09-26 00:00:00,2019-10-26,1250.0
250,      6153,2019-09-26 00:00:00,2019-09-26,2391.355
251,      5926,2019-09-24 00:00:00,2019-09-26,597.4200000000001
252,      5926,2019-09-25 00:00:00,2019-09-26,563.6
253,      5926,2019-09-24 00:00:00,2019-09-26,72.42
254,      5926,2019-09-24 00:00:00,2019-09-26,380.00000000000006
255,      5926,2019-09-24 00:00:00,2019-09-26,252.16000000000003
256,      1586,2019-09-26 00:00:00,2019-09-26,144.0
257,      5926,2019-09-26 00:00:00,2019-09-26,155.17060000000004
258,      4602,2019-09-26 00:00:00,2019-10-11,3855.7
259,      5739,2019-09-26 00:00:00,2019-11-25,4410.0
260,      6365,2019-09-27 00:00:00,2019-09-27,1096.8600000000001
261,      2029,2019-09-27 00:00:00,2019-10-12,21024.0
262,      6419,2019-09-18 00:00:00,2019-09-27,645.09
263,      1020,2019-09-27 00:00:00,2019-10-27,4528.6
264,      6844,2019-09-27 00:00:00,2019-09-27,600.0
265,      6556,2019-09-27 00:00:00,2019-09-27,625.0
266,      6184,2019-09-20 00:00:00,2019-09-27,1190.0
267,      6854,2019-09-27 00:00:00,2019-09-27,1836.2400000000002
268,      3108,2019-09-27 00:00:00,2019-09-27,1687.66
269,      2029,2019-09-27 00:00:00,2019-10-12,21024.0
270,      6365,2019-09-27 00:00:00,2019-09-27,2556.0
271,        96,2019-09-19 00:00:00,2019-09-27,5392.320000000001
272,      4563,2019-09-27 00:00:00,2019-09-27,3662.76
273,       728,2019-09-27 00:00:00,2019-11-26,155913.0
274,      6340,2019-09-19 00:00:00,2019-09-27,2366.4
275,      3545,2019-09-27 00:00:00,2019-10-12,1440.0000000000002
276,      6855,2019-09-27 00:00:00,2019-09-27,2855.5
277,        42,2019-09-30 00:00:00,2019-10-30,3150.0000000000005
278,      6856,2019-09-30 00:00:00,2019-09-30,527.63
279,      6856,2019-09-30 00:00:00,2019-09-30,1055.18
280,      6847,2019-09-30 00:00:00,2019-09-30,6300.7327000000005
281,      5598,2019-09-30 00:00:00,2019-09-30,3196.0
282,      5598,2019-09-30 00:00:00,2019-09-30,4938.0
283,      6857,2019-09-30 00:00:00,2019-09-30,857.4000000000001
284,      6844,2019-09-20 00:00:00,2019-09-30,53971.64
285,      6858,2019-09-30 00:00:00,2019-09-30,777.1
286,      6859,2019-09-30 00:00:00,2019-09-30,180.00000000000003
